	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08700	1959.6039	389.692	3525.92711	254.3254	766.472	948.26	262.0287	525.503	759.307	974.731	339.6214	601.697	746.875	977.879	371.8657
LOC_Os01g08710	16.710317	14.43018	89.772662	2.70276	4.801266	6.979691	3.328615	7.43946	6.34281	6.605485	1.245973	3.093343	5.788204	5.52829	3.996727
LOC_Os01g08750	318.0031	215.179	743.7063	38.2872	100.4015	84.9429	79.8261	80.18	105.0902	83.5578	95.7524	73.1996	110.5334	85.668	89.2857
LOC_Os01g08760	293.7834	110.63028	623.71374	12.3043	88.9674	94.2405	44.2625	40.9643	84.1132	80.2821	34.6508	47.0413	85.6468	90.4448	46.2943
LOC_Os01g08770	166.01711	83.66946	384.44276	15.61342	43.87209	38.3953	29.21337	28.08771	37.68607	42.34959	21.29069	27.99319	50.12863	43.45806	22.1089
LOC_Os01g08780	51.557391	25.525342	71.23363	3.5787	12.58709	15.66253	7.83708	9.43184	13.99932	17.41025	18.85098	7.65411	10.9301	11.63178	9.01098
LOC_Os01g08810	79.23005	25.70803	106.665029	4.015227	10.99085	31.08997	5.35479	8.77377	10.34927	38.1731	6.034149	8.16726	8.231327	25.77076	6.5087
LOC_Os01g08814	236.29996	92.8128	405.85365	21.16459	46.0582	64.7672	23.52981	34.60785	55.9885	79.0841	23.73302	34.07893	64.7262	61.4216	19.42213
LOC_Os01g08820	23.46576	8.400202	39.954683	1.39412	10.3068	6.539101	3.514923	4.606005	7.12157	5.53682	2.158009	4.6262	8.65305	4.656356	1.854382
LOC_Os01g08830	785.6022	221.6303	1314.6244	124.9838	238.5844	241.9712	96.9302	125.9661	252.2593	220.6748	103.03	138.6005	237.5525	184.2482	104.535
LOC_Os01g08850	128.83984	48.94427	278.29261	9.62581	27.48348	38.08044	17.06704	20.50251	31.02352	37.1445	12.66057	22.6908	40.4576	38.42023	16.38797
LOC_Os01g08860	412.87063	126.03934	1784.28239	80.9386	58.3462	87.1357	15.31754	53.3971	36.04228	90.5459	23.87743	59.7541	46.9945	79.0853	25.00673
LOC_Os01g08870	372.1368	194.0952	1526.3389	200.8567	122.007	85.9076	59.9644	106.3314	113.63911	35.76866	83.4301	41.69544	124.1432	61.4749	70.9211
LOC_Os01g08880	132.40662	63.28511	475.57142	112.3847	42.38897	29.38961	20.78831	31.35884	39.2842	20.54181	24.27974	26.85475	40.51127	28.69203	18.74003
LOC_Os01g08890	96.01831	129.166	289.31699	21.9761	44.16482	35.8488	70.4047	56.3098	94.9277	68.2499	126.9966	73.4359	108.4873	73.0263	133.1503
LOC_Os01g08930	154.98199	188.7596	708.17296	74.3342	44.22592	43.92774	71.923	73.8327	53.5301	34.69091	78.5972	63.6435	55.8419	33.84881	78.5462
