	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g07750	7.252739186	6.9297353	7.120445947	7.257171405	7.154199317	7.146356962	6.885933532	7.03483838	7.045883683	7.266564115	6.962753923	6.95533774	6.935880772	7.106660433	6.941747165
LOC_Os01g07760	10.74651315	10.7534771	10.54996145	11.00325644	10.65736822	10.59849235	10.81057777	10.82313712	10.91888459	10.79120722	10.93224034	10.99024061	10.87389022	10.74703342	10.99446248
LOC_Os01g07770	7.32114545	6.457977243	5.392879306	6.600732618	7.082163794	6.83840324	6.462339603	6.032595084	7.51111043	6.821342469	6.683426103	6.690765294	7.683074955	6.867426131	6.541460937
LOC_Os01g07780	7.29020308	6.749277833	6.660048017	6.855498655	6.758454335	7.224512857	6.025455716	7.106301663	6.930247876	7.290213517	6.218169715	6.919754521	6.801485554	7.068942392	5.980409099
LOC_Os01g07800	5.213095817	7.209486826	6.651386501	6.7083526	4.814750873	4.964614205	6.206660487	6.27154978	5.074231262	5.033825426	6.420481779	6.232877852	4.997460461	4.602381282	6.321618894
LOC_Os01g07810	8.290283252	7.77374952	8.068993127	8.531951237	7.766471159	7.952906506	7.372207677	7.475587982	7.62362728	7.875050633	7.160848872	7.551770045	7.712131242	7.807299557	7.192153138
LOC_Os01g07850	5.020086073	3.994758419	4.61077421	3.994758419	5.231363597	5.108030998	4.239192326	3.994758419	4.766748402	4.923278399	4.744414183	3.994758419	4.840754454	4.93506461	4.455642958
LOC_Os01g07870	8.051358376	9.413639567	8.807335333	10.15031881	8.054608035	8.465274127	8.615645899	8.209229997	7.995904963	8.566284084	9.221327089	8.601108337	8.089141352	8.55672637	8.899845829
LOC_Os01g07880	7.126012796	6.502897977	7.250648641	7.541117252	5.931113596	6.023839608	5.761962462	5.783335701	6.046683901	6.226780405	5.728298069	5.813470961	6.07917366	6.013964984	5.876095752
LOC_Os01g07890	6.501531623	6.085752053	5.988443114	6.483906726	6.766905606	6.85433914	6.168517357	6.120034041	6.838906946	6.763988025	5.917706668	5.915725501	6.603730762	6.136774245	6.095234372
LOC_Os01g07900	4.693815878	4.614852629	5.291538444	5.248893348	4.525059312	4.525461874	4.680476187	4.905394291	4.459621011	4.477093201	4.657512658	4.862582357	4.612607536	4.531499993	4.786461188
LOC_Os01g07910	8.053856117	7.209486826	7.70978235	5.32993843	7.737150484	7.897167634	6.968902262	7.29044159	7.807885388	7.707969203	6.910009189	7.362067086	7.730502426	8.007318587	6.922022883
LOC_Os01g07920	6.369889012	6.313456893	6.815041771	5.604229684	6.368846017	6.499419236	6.340614086	6.499525325	6.455420019	6.620088619	6.025855356	6.430606616	6.505221359	6.69218554	6.131343015
LOC_Os01g07940	5.160744426	5.527055325	6.105758303	6.097613555	4.944204443	5.217566055	5.184398293	5.69161614	5.439286519	5.407455144	5.410750962	5.701913769	5.286467318	5.260292705	5.122911303
LOC_Os01g07950	7.04715155	6.828953451	7.572089021	7.203768215	6.995547919	7.046448114	6.73559317	7.064706692	6.94623029	7.214512006	6.861387216	7.284819521	7.012053588	7.136784558	6.95635947
LOC_Os01g07960	8.665577222	8.913089804	8.658781433	8.940277442	8.246258198	8.213734735	8.617334877	8.393266787	8.338075738	8.160049081	8.673771318	8.572380436	8.218823893	8.131047106	8.673293721
LOC_Os01g07970	6.514017102	6.896945947	7.60915306	9.532521644	6.418688823	6.993690817	7.12138587	7.056237637	6.804144417	7.276748094	7.584759391	7.847650066	6.674289691	7.444938936	7.408198912
LOC_Os01g07980	4.58952737	4.614852629	5.092781813	5.160772025	4.740612337	4.525461874	4.830769231	4.382516048	4.912936178	4.21126788	4.891402063	3.994758419	4.612607536	3.994758419	4.321342815
LOC_Os01g08000	4.720685849	4.476545339	5.231162627	5.248893348	4.766193665	4.686880372	4.589982533	4.662423514	4.934849247	4.426570156	4.702403742	4.612955773	4.862100484	4.722693305	4.786461188
LOC_Os01g08010	5.706164619	5.47262477	6.583857996	6.7083526	5.753123646	5.772443648	5.441913866	5.617883963	5.780713695	5.553911603	5.391278692	5.662303381	5.967090384	5.686591187	5.224727217
LOC_Os01g08020	4.501197629	8.951985277	9.166210357	6.988535227	4.627089911	4.44400066	8.194509132	7.661671672	4.203370018	4.564418368	8.156542511	7.186175336	4.272755055	4.198630018	8.276161016
LOC_Os01g08090	7.969921759	6.579261268	6.931553304	6.655597383	8.198012502	8.337361903	5.947466652	6.774855667	8.100012788	7.946521974	5.905097745	7.173344993	7.982695757	7.976476056	6.058088979
