	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08510	52.97719477	524.8815256	210.0600341	23.81802509	59.43708025	54.23003331	413.7720245	278.8319393	80.13786307	84.17392684	448.0430483	354.1199466	62.04857062	57.07975668	454.5141865
LOC_Os01g08520	30.22906215	46.05798002	60.29819756	3.664311552	14.62587839	29.60835152	18.80781929	43.63990186	39.06720825	58.27425705	19.56519862	47.55567629	24.34441527	35.71470809	15.99824303
LOC_Os01g08540	39.08403995	69.68512562	101.2675275	45.8038944	54.14686892	50.49003101	69.26782228	95.38987398	40.4028393	34.17317543	33.26083765	36.94056997	50.76701232	44.00562247	32.40669741
LOC_Os01g08550	20.00003607	22.13175663	36.73960324	18.32155776	18.36014521	19.63501206	16.97291009	27.03356753	22.70572787	12.9498349	7.336949482	20.80560837	24.04753215	19.13287934	7.383804474
LOC_Os01g08560	1569.468479	1462.191327	1220.964726	851.9524358	1018.210087	1174.984055	737.1747708	1016.848333	1037.451419	988.8637816	693.586291	847.0854838	947.6508967	1043.379686	596.0371056
LOC_Os01g08580	109.3131742	111.2569388	124.776939	157.5653967	80.59792558	95.9933923	80.73600477	106.9756886	85.48038728	86.6919503	81.68470423	96.38516533	89.36181701	96.62104064	84.09332873
LOC_Os01g08600	11.45040233	14.05665624	17.41073567	5.496467327	9.335667055	6.856670878	9.174545997	8.110070258	5.008616442	4.676329269	9.293469343	6.793668041	15.43792188	17.2195914	8.614438553
LOC_Os01g08650	40.91610432	32.30040158	71.75780607	56.79682905	31.11889018	47.37336243	19.26654659	44.41228951	40.06893154	41.36752815	5.38042962	10.61510631	115.487531	133.9301553	107.0651649
LOC_Os01g08660	192.061415	185.7273091	218.4703047	218.0265373	177.688863	189.4934497	131.6547351	161.4290175	268.4618413	368.710577	252.8801921	294.6753513	195.6459715	238.2043477	174.3398279
LOC_Os01g08670	39.08403995	13.45850066	19.32886757	9.160778879	22.71678983	30.23168524	5.963454898	14.67536523	28.04825207	27.69825798	5.38042962	14.86114884	22.26623348	20.72728595	12.30634079
