	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g08270	1848.213705	1096.294874	5584.52147	275.0530528	879.4383684	1030.756173	591.7278963	797.8199803	840.3919136	931.2027896	508.470323	932.0093661	916.5060733	1190.155925	735.9437557
LOC_Os01g08280	422.9547063	395.7706308	2367.545314	145.2661145	209.8558695	213.6282223	150.832601	264.4408954	176.1246883	167.3465883	161.3219097	222.0348922	242.7076313	162.3750962	160.6226451
LOC_Os01g08290	511.48011	196.3513207	1047.199091	52.39105768	280.1042326	249.232926	108.2900725	172.696095	222.6144537	177.2434295	105.1655487	153.9919414	247.9648363	243.5626444	156.7287628
LOC_Os01g08300	243.9366678	48.06516705	115.9051626	3.572117569	125.3799898	218.9689279	21.27126425	36.87781194	101.9198704	204.2348147	15.31537117	20.59194565	88.49628433	135.6099705	12.65511749
LOC_Os01g08310	218.3626623	210.6686045	999.3780803	7.144235138	92.47885775	119.2757575	146.9650984	215.8701187	114.4363457	115.1632435	123.5439941	206.8147585	148.0779411	119.550895	128.4981161
LOC_Os01g08320	1161.650019	668.8216862	3534.702196	226.2341127	547.7593882	520.7187919	483.4378238	422.7456491	521.2217932	450.756133	399.2206753	344.6912641	735.1325005	460.360163	728.155991
LOC_Os01g08340	318.6914531	95.10767098	924.8097239	25.00482298	179.6223968	219.8590455	76.38317616	88.14696513	146.6215679	136.7563517	106.1865735	80.57717862	166.4781586	182.895026	105.1348222
LOC_Os01g08350	217.3790467	65.45044024	217.2208642	10.71635271	1.778439572	2.670352779	0.966875648	2.698376484	0.894033951	2.699138521	10.21024745	5.371811908	0.876200835	5.353025151	2.920411729
LOC_Os01g08370	218.3626623	113.5156073	467.6732784	17.86058785	172.5086385	123.7263454	111.1906995	109.733977	42.91362963	41.38679065	37.77791556	59.08993099	53.44825093	48.17722636	50.62046997
LOC_Os01g08380	635.4156751	59.31446147	722.9888464	7.144235138	272.1012545	774.4023059	40.6087772	51.26915319	263.7400155	756.6584986	63.30353419	36.70738137	376.766359	847.5623155	40.8857642
LOC_Os01g08400	1362.307601	620.7565192	3119.713083	41.67470497	536.199531	617.7416095	395.4521399	424.5445668	470.2618581	558.7216738	360.421735	449.4415963	550.2541243	620.9509175	483.8148764
LOC_Os01g08410	2713.79543	1266.056953	6252.394575	322.6812871	1027.048853	998.7119393	738.6929948	735.7573212	946.7819538	930.3030768	783.1259794	779.8080287	1098.755847	1022.427804	889.7521067
LOC_Os01g08420	729.8427723	717.9095164	3828.112468	121.4519974	468.6188273	459.300678	482.4709482	549.5693438	404.9973797	414.7676193	439.0406403	448.5462943	446.8624258	429.1341829	514.9659348
LOC_Os01g08430	2230.840172	1837.725642	10287.19107	322.6812871	907.0041818	926.6124143	813.1424197	1157.603511	842.1799815	697.2774512	850.5136125	907.8362125	949.8017051	871.6509287	1023.117576
LOC_Os01g08440	967.8777466	4059.972621	6018.152673	136.9311735	55.13162674	113.0449343	271.692057	608.0341676	43.80766358	18.89396964	107.2075982	279.3342192	49.94344759	23.19644232	64.24905803
LOC_Os01g08450	1220.666955	490.8783018	2275.95592	53.58176354	553.9839267	597.2689049	317.1352124	379.5716254	551.6189476	628.8992753	313.4545967	426.1637447	600.1975719	681.6185359	392.3086422
LOC_Os01g08460	861.6472622	2713.125281	3392.860214	542.9618705	208.0774299	162.0014019	559.821	684.488168	178.8067901	105.2664023	821.9249197	635.6644091	123.5443177	79.4032064	524.7006406
LOC_Os01g08470	544.9230403	253.6204559	3832.975622	0	262.3198369	320.4423335	104.4225699	178.9923067	204.7337747	270.8135649	102.1024745	151.3060354	287.3938739	469.2818716	110.0021751
LOC_Os01g08510	341.3146119	1794.773791	3461.754891	15.47917613	169.8409791	154.8804612	872.1218342	649.4092737	214.5681482	210.5328046	935.2586664	746.6818552	183.1259745	159.6985837	1078.605398
LOC_Os01g08520	194.755888	157.4901218	993.704401	2.381411713	41.79332994	84.56117133	39.64190155	101.6388476	104.6019722	145.7534801	40.8409898	100.2738223	71.84846846	99.92313615	37.96535247
LOC_Os01g08540	251.8055926	238.280509	1668.872236	29.76764641	154.7242428	144.1990501	145.9982228	222.1663305	108.178108	85.47271982	69.42968266	77.89127267	149.8303428	123.1195785	76.90417552
LOC_Os01g08550	128.8536431	75.67707153	605.4626326	11.90705856	52.46396738	56.07740836	35.77439896	62.96211795	60.79430865	32.38966225	15.31537117	43.86979725	70.97226763	53.53025151	17.52247037
LOC_Os01g08560	10111.56833	4999.800037	20121.29833	553.6782232	2909.52714	3355.743326	1553.769166	2368.275094	2777.763485	2473.310598	1447.813088	1786.127459	2796.833065	2919.183049	1414.452747
LOC_Os01g08580	704.2687668	380.4306839	2056.303479	102.4007036	230.3079246	274.1562186	170.170114	249.1500953	228.8726914	216.8307945	170.5111324	203.2335505	263.7364513	270.3277701	199.5614681
LOC_Os01g08600	73.77116971	48.06516705	286.9260668	3.572117569	26.67659358	19.58258705	19.33751295	18.88863539	13.41050926	11.69626692	19.39947015	14.32483175	45.56244342	48.17722636	20.4428821
LOC_Os01g08650	263.6089798	110.4476179	1182.556869	36.91188155	88.92197861	135.2978741	40.6087772	103.4377652	107.2840741	103.4669766	11.23127219	22.38254962	340.8421248	374.7117606	254.0758204
LOC_Os01g08660	1237.38842	635.073803	3600.354771	141.6939969	507.7444978	541.1914965	277.4933109	375.9737901	718.8032964	922.2056612	527.8697931	621.3395774	577.4163502	666.4516313	413.7249949
