LOC_Os01g06870	LOC_Os01g06876	1
LOC_Os01g04540	LOC_Os01g04550	0.572537869135311
LOC_Os01g06740	LOC_Os01g08440	0.289927432909373
LOC_Os01g02560	LOC_Os01g05760	0.235735601570179
LOC_Os01g01120	LOC_Os01g01840	0.186268472235983
LOC_Os01g02550	LOC_Os01g02780	0.149510980103166
LOC_Os01g02780	LOC_Os01g05760	0.146884281651637
LOC_Os01g07480	LOC_Os01g08300	0.14037583004281
LOC_Os01g01650	LOC_Os01g06740	0.138585335774585
LOC_Os01g06450	LOC_Os01g09080	0.116686532809452
LOC_Os01g04520	LOC_Os01g07590	0.107132580379271
LOC_Os01g01840	LOC_Os01g05080	0.0998718871019808
LOC_Os01g02780	LOC_Os01g05770	0.0997255777006855
LOC_Os01g02730	LOC_Os01g05900	0.0990512264955634
LOC_Os01g02730	LOC_Os01g05610	0.0973860411078796
LOC_Os01g02370	LOC_Os01g05760	0.0930235287433893
LOC_Os01g02730	LOC_Os01g05960	0.0922583882039978
LOC_Os01g03680	LOC_Os01g09080	0.0823101649762549
LOC_Os01g02730	LOC_Os01g06050	0.0810000074808669
LOC_Os01g06450	LOC_Os01g07850	0.0703946996982204
LOC_Os01g05064	LOC_Os01g06450	0.0676412316766195
LOC_Os01g03530	LOC_Os01g03620	0.0651635128718325
LOC_Os01g02560	LOC_Os01g05770	0.0583498692243176
LOC_Os01g03620	LOC_Os01g03680	0.0497070160103181
LOC_Os01g02370	LOC_Os01g02550	0.0486706982666641
LOC_Os01g02560	LOC_Os01g05780	0.0426925999298897
LOC_Os01g03530	LOC_Os01g05064	0.0389206202140868
LOC_Os01g02730	LOC_Os01g05530	0.0262785421596008
LOC_Os01g03530	LOC_Os01g04300	0.0148701665629085
LOC_Os01g04570	LOC_Os01g08520	0.0125589020315237
LOC_Os01g07770	LOC_Os01g09080	0.00619568781669602
LOC_Os01g03870	LOC_Os01g04570	0
