	DRS000419	DRS000420	DRS000668	DRS001349	DRS002153	DRS002154	DRS002155	DRS002156	DRS002157	DRS002158	DRS002159	DRS002160	DRS002161	DRS002162	DRS002163
LOC_Os01g06900	123	94	1192	20	65	68	57	99	0	0	0	0	0	1	0
LOC_Os01g06910	19	14	75	14	9	6	5	5	0	0	0	0	7	9	5
LOC_Os01g06920	46	27	461	0	21	22	19	54	0	10	1	17	8	21	16
LOC_Os01g07070	1264	820	5404	225	497	568	398	506	476	435	339	399	559	461	392
LOC_Os01g07080	498	287	2099	46	337	370	221	283	214	169	90	186	297	230	154
LOC_Os01g07090	658	1786	4265	259	281	242	981	747	228	211	884	571	282	135	935
LOC_Os01g07100	482	275	2047	29	298	295	204	284	179	176	151	185	315	322	207
LOC_Os01g07110	165	96	812	3	156	112	67	86	106	45	20	47	150	124	39
LOC_Os01g07120	669	311	2471	95	360	326	288	189	258	330	201	243	291	371	334
LOC_Os01g07140	296	111	2776	32	284	122	195	102	42	28	21	37	39	37	43
LOC_Os01g07150	93	8	148	0	32	34	2	6	27	17	1	1	24	30	3
LOC_Os01g07170	195	87	1273	32	171	147	61	156	129	110	57	141	250	173	97
LOC_Os01g07200	883	700	3269	67	317	428	362	486	243	338	276	427	298	347	397
LOC_Os01g07212	198	90	864	5	156	135	60	63	137	93	32	75	183	143	69
LOC_Os01g07240	118	181	2481	8	98	89	143	202	80	75	134	230	95	74	126
LOC_Os01g07250	1697	617	3745	45	586	701	383	665	727	915	382	644	659	961	335
LOC_Os01g07260	351	210	1685	11	217	219	170	230	293	237	159	233	328	269	142
LOC_Os01g07270	6	11	48	6	5	5	8	8	10	8	13	4	3	4	5
LOC_Os01g07280	147	101	1093	12	81	76	55	139	53	60	27	59	68	62	44
LOC_Os01g07300	175	92	414	48	115	96	49	64	44	78	47	85	70	62	75
LOC_Os01g07310	4077	1669	8613	245	2082	1995	1266	1508	2181	2064	1346	1493	2113	2073	1535
LOC_Os01g07320	20	6	105	4	13	15	3	7	17	15	1	6	17	12	11
LOC_Os01g07330	169	75	725	4	112	93	62	73	91	55	38	69	85	52	51
LOC_Os01g07340	44	12	233	8	21	18	3	14	14	16	2	9	12	15	4
LOC_Os01g07350	237	150	1062	39	118	121	92	115	93	118	65	109	143	138	128
LOC_Os01g07360	487	89	1425	4	255	215	69	94	261	195	69	116	349	364	127
LOC_Os01g07370	1662	1670	9431	89	1155	929	1976	1908	1296	1512	2540	2216	1510	1864	2189
LOC_Os01g07376	858	218	1520	21	306	384	121	165	308	399	90	172	260	313	122
LOC_Os01g07382	979	322	2692	74	326	344	136	233	326	316	124	215	403	341	160
LOC_Os01g07390	775	356	3446	55	472	570	198	499	473	609	237	488	498	557	262
LOC_Os01g07400	1271	525	4669	79	541	667	262	404	513	563	232	430	496	563	336
LOC_Os01g07410	797	307	2458	13	465	479	259	268	504	482	252	260	480	525	334
LOC_Os01g07420	2211	278	4544	3	764	1079	134	232	665	1152	112	241	636	1328	137
LOC_Os01g07480	145	6	210	1	76	115	6	25	68	105	1	17	74	80	5
LOC_Os01g07490	3876	1628	13964	313	2616	2694	1405	1726	2061	1765	1042	1301	2441	2153	1283
LOC_Os01g07500	1011	199	1944	64	350	498	162	116	290	458	145	118	332	379	224
LOC_Os01g07520	2546	1082	7529	174	977	1042	619	813	955	898	565	676	1224	980	767
LOC_Os01g07530	2078	1116	2908	509	449	535	711	701	199	224	505	436	247	329	692
LOC_Os01g07540	136	119	851	17	91	97	82	117	78	70	69	93	98	74	67
LOC_Os01g07560	1368	150	1829	3	842	777	110	168	940	887	80	110	1103	810	101
LOC_Os01g07570	614	223	1397	0	321	270	153	210	325	279	105	210	327	299	119
LOC_Os01g07590	193	347	2943	16	97	116	130	286	97	120	340	734	85	85	374
LOC_Os01g07600	49	29	252	10	27	20	8	15	9	5	4	4	19	6	5
LOC_Os01g07610	111	32	709	22	49	73	18	46	50	41	13	36	56	40	12
LOC_Os01g07620	13	23	90	2	6	12	7	9	8	10	2	4	8	11	5
LOC_Os01g07630	1241	694	5169	16	410	578	357	633	359	493	238	464	364	563	280
LOC_Os01g07700	776	951	3795	134	330	322	472	465	246	186	554	405	311	261	538
LOC_Os01g07720	1003	477	2800	43	646	670	382	466	563	491	304	351	594	555	348
LOC_Os01g07730	119	325	1347	83	12	35	142	243	38	18	177	140	31	14	166
LOC_Os01g07740	1207	612	7439	35	591	568	401	476	633	484	373	439	739	635	405
LOC_Os01g07750	801	308	2218	67	361	358	193	262	306	344	194	222	312	338	227
LOC_Os01g07760	11045	5666	29837	1103	5088	4873	3846	4609	5703	4838	3930	4716	6214	5290	4896
LOC_Os01g07770	849	197	329	37	339	272	129	97	455	232	150	174	589	273	156
LOC_Os01g07780	827	261	1459	47	253	383	81	279	276	351	94	215	276	327	86
LOC_Os01g07800	79	394	1447	41	17	24	99	126	28	24	116	110	27	9	125
LOC_Os01g07810	1847	629	4831	185	601	696	295	382	499	567	231	370	603	606	283
LOC_Os01g07850	55	0	60	0	40	32	1	0	14	19	9	0	19	22	4
LOC_Os01g07870	1535	2175	8472	603	755	1034	787	686	672	967	1156	841	813	1083	1088
LOC_Os01g07880	718	206	2482	85	107	119	59	72	114	129	53	68	133	115	76
LOC_Os01g07890	403	133	724	33	255	276	95	107	254	220	67	77	229	132	98
LOC_Os01g07900	25	10	280	7	7	7	8	17	5	5	7	14	10	7	12
LOC_Os01g07910	1538	394	3633	8	587	666	208	327	579	496	185	316	612	710	223
LOC_Os01g07920	353	170	1687	12	173	197	114	159	176	192	76	135	208	232	102
LOC_Os01g07940	72	66	827	22	23	39	25	64	52	46	34	59	46	41	25
LOC_Os01g07950	670	281	3248	64	314	328	168	269	280	329	177	296	334	347	230
LOC_Os01g07960	2455	1507	7582	251	876	853	788	790	876	709	771	823	899	782	919
LOC_Os01g07970	408	299	3348	387	182	313	238	267	246	347	330	470	245	451	340
LOC_Os01g07980	18	10	197	6	14	7	12	3	20	1	13	0	10	0	2
LOC_Os01g08000	27	6	253	7	15	12	6	9	21	4	8	7	20	13	12
LOC_Os01g08010	165	61	1356	41	86	88	38	58	83	57	33	56	117	77	30
LOC_Os01g08020	13	1551	11042	53	10	5	571	445	1	7	520	272	2	1	680
LOC_Os01g08090	1440	222	1876	39	844	938	74	207	729	600	66	269	748	693	94
LOC_Os01g08100	105	12	371	26	51	73	22	35	43	42	13	25	64	49	11
LOC_Os01g08110	668	105	1276	38	186	209	15	40	164	163	9	23	210	291	17
LOC_Os01g08120	40	17	176	9	16	16	6	20	12	13	10	11	28	22	11
LOC_Os01g08130	197	53	308	30	29	81	56	36	49	105	53	56	47	91	76
LOC_Os01g08140	203	68	321	41	47	98	57	55	37	88	74	58	60	80	77
LOC_Os01g08150	673	271	1697	1	383	309	171	259	390	289	123	299	505	409	150
LOC_Os01g08160	92	39	307	25	53	53	38	65	49	43	34	48	47	36	32
LOC_Os01g08170	393	1	282	2	320	190	0	1	244	170	0	1	239	210	0
LOC_Os01g08190	44	53	855	2	27	21	44	48	50	26	27	44	27	23	21
LOC_Os01g08200	2737	1337	9010	156	1479	1398	809	1008	1299	1142	729	856	1394	1307	776
LOC_Os01g08220	63	17	454	8	3	8	12	23	11	12	12	19	7	8	7
LOC_Os01g08260	48	1145	6662	0	22	29	742	953	26	15	685	829	28	39	680
LOC_Os01g08270	1879	1072	6890	231	989	1158	612	887	940	1035	498	1041	1046	1334	756
LOC_Os01g08280	430	387	2921	122	236	240	156	294	197	186	158	248	277	182	165
LOC_Os01g08290	520	192	1292	44	315	280	112	192	249	197	103	172	283	273	161
LOC_Os01g08300	248	47	143	3	141	246	22	41	114	227	15	23	101	152	13
LOC_Os01g08310	222	206	1233	6	104	134	152	240	128	128	121	231	169	134	132
LOC_Os01g08320	1181	654	4361	190	616	585	500	470	583	501	391	385	839	516	748
LOC_Os01g08340	324	93	1141	21	202	247	79	98	164	152	104	90	190	205	108
LOC_Os01g08350	221	64	268	9	2	3	1	3	1	3	10	6	1	6	3
LOC_Os01g08370	222	111	577	15	194	139	115	122	48	46	37	66	61	54	52
LOC_Os01g08380	646	58	892	6	306	870	42	57	295	841	62	41	430	950	42
LOC_Os01g08400	1385	607	3849	35	603	694	409	472	526	621	353	502	628	696	497
LOC_Os01g08410	2759	1238	7714	271	1155	1122	764	818	1059	1034	767	871	1254	1146	914
LOC_Os01g08420	742	702	4723	102	527	516	499	611	453	461	430	501	510	481	529
LOC_Os01g08430	2268	1797	12692	271	1020	1041	841	1287	942	775	833	1014	1084	977	1051
LOC_Os01g08440	984	3970	7425	115	62	127	281	676	49	21	105	312	57	26	66
LOC_Os01g08450	1241	480	2808	45	623	671	328	422	617	699	307	476	685	764	403
LOC_Os01g08460	876	2653	4186	456	234	182	579	761	200	117	805	710	141	89	539
LOC_Os01g08470	554	248	4729	0	295	360	108	199	229	301	100	169	328	526	113
LOC_Os01g08510	347	1755	4271	13	191	174	902	722	240	234	916	834	209	179	1108
LOC_Os01g08520	198	154	1226	2	47	95	41	113	117	162	40	112	82	112	39
LOC_Os01g08540	256	233	2059	25	174	162	151	247	121	95	68	87	171	138	79
LOC_Os01g08550	131	74	747	10	59	63	37	70	68	36	15	49	81	60	18
LOC_Os01g08560	10280	4889	24825	465	3272	3770	1607	2633	3107	2749	1418	1995	3192	3272	1453
LOC_Os01g08580	716	372	2537	86	259	308	176	277	256	241	167	227	301	303	205
LOC_Os01g08600	75	47	354	3	30	22	20	21	15	13	19	16	52	54	21
LOC_Os01g08650	268	108	1459	31	100	152	42	115	120	115	11	25	389	420	261
LOC_Os01g08660	1258	621	4442	119	571	608	287	418	804	1025	517	694	659	747	425
LOC_Os01g08670	256	45	393	5	73	97	13	38	84	77	11	35	75	65	30
LOC_Os01g08680	182	155	1036	12	129	110	76	111	114	104	77	106	141	132	128
LOC_Os01g08690	225	113	1284	19	121	105	130	104	136	110	129	104	145	111	149
LOC_Os01g08700	13704	2877	45076	977	10369	13109	3595	8289	9271	11970	4443	8939	10312	13237	4988
LOC_Os01g08710	57	63	699	7	61	53	38	58	89	49	20	35	101	44	36
LOC_Os01g08750	3537	2500	16111	269	2097	1868	1735	1981	2106	1428	1982	1604	2401	1807	1962
LOC_Os01g08760	467	180	1909	12	267	299	125	140	234	219	96	157	275	270	139
LOC_Os01g08770	594	294	2580	33	279	252	186	208	221	243	125	194	330	275	149
LOC_Os01g08780	181	105	480	6	87	111	55	78	88	110	121	58	78	80	66
LOC_Os01g08810	221	80	643	5	60	167	26	53	50	186	27	51	44	139	36
LOC_Os01g08814	391	150	1290	13	147	201	73	122	168	232	67	132	222	204	74
LOC_Os01g08820	85	29	305	3	66	38	21	32	40	31	10	34	56	27	13
LOC_Os01g08830	2101	656	6974	212	1291	1312	511	834	1257	1073	529	842	1353	1019	598
LOC_Os01g08850	366	146	1559	16	149	202	89	130	153	173	70	131	215	195	87
LOC_Os01g08860	488	148	3899	46	121	190	32	128	73	174	38	135	103	155	52
LOC_Os01g08870	77	33	639	19	68	46	34	65	47	13	28	34	59	33	38
LOC_Os01g08880	236	148	1871	76	206	165	118	191	174	105	100	147	238	123	107
LOC_Os01g08890	610	871	2931	120	473	357	732	681	726	526	974	686	933	620	1139
LOC_Os01g08930	520	652	4535	137	290	287	453	537	307	202	457	442	362	214	508
LOC_Os01g08950	56	19	106	16	18	34	7	20	26	40	14	15	36	35	21
LOC_Os01g08960	670	157	1671	32	284	312	102	122	311	267	97	119	299	314	109
LOC_Os01g08970	3591	1898	12493	547	2400	2347	1559	1788	2323	2056	1398	1700	2590	2169	1681
LOC_Os01g09000	4011	1431	15498	224	2203	2083	1068	1460	1557	1355	790	1008	1646	1474	873
LOC_Os01g09010	4641	2132	9496	265	1894	2215	1574	1390	1500	2114	1284	1452	1970	2611	1757
LOC_Os01g09020	1223	781	5574	169	989	903	554	633	547	462	243	348	793	476	319
LOC_Os01g09030	462	147	3611	25	290	267	149	194	122	485	67	73	128	241	102
LOC_Os01g09080	1989	8	1224	7	1098	1101	12	15	839	888	14	15	1011	924	47
LOC_Os01g09100	85	12	128	20	45	194	16	18	62	196	41	55	88	246	35
LOC_Os01g09120	831	442	3735	147	646	679	462	507	718	822	672	760	910	806	713
LOC_Os01g09200	5967	1546	12600	167	3013	2386	966	1118	2214	1996	853	1006	2576	2335	1047
LOC_Os01g09220	191	462	1170	1	99	460	224	1970	91	661	594	1891	846	957	472
LOC_Os01g09230	26	13	778	3	11	20	4	6	15	16	4	13	23	16	14
LOC_Os01g09246	6661	2187	17027	416	4264	3903	1549	1690	3771	2960	1594	1423	4009	3360	1731
LOC_Os01g09252	792	455	3441	47	564	474	290	390	477	411	277	403	576	465	316
LOC_Os01g09260	175	4	306	1	81	67	1	1	60	50	2	15	77	54	2
LOC_Os01g09270	17	4	58	1	7	13	3	5	24	17	6	12	15	23	15
LOC_Os01g09280	393	247	2225	109	276	367	132	267	219	236	142	321	215	285	205
LOC_Os01g09300	1414	2564	5936	113	535	552	1009	664	553	514	807	521	668	652	1066
LOC_Os01g09305	139	270	1086	44	97	90	152	203	120	80	223	160	130	97	212
LOC_Os01g09310	180	369	1720	82	164	128	296	329	172	109	328	245	199	124	352
LOC_Os01g09320	6896	4804	21776	555	3510	3271	3484	2804	3410	3085	3494	2527	3805	3678	3477
LOC_Os01g09370	541	397	4702	40	406	165	351	363	271	19	230	136	362	30	306
LOC_Os01g09384	30	52	878	6	31	15	40	43	58	2	113	75	41	8	50
LOC_Os01g09410	104	112	1777	45	71	7	92	85	104	2	162	96	60	0	125
LOC_Os01g09420	862	462	4932	230	450	277	334	413	390	56	290	275	515	121	403
LOC_Os01g09430	568	365	3961	284	232	343	226	476	290	237	288	440	254	231	300
LOC_Os01g09450	223	425	1866	8	173	173	338	204	370	338	426	313	225	269	315
LOC_Os01g09460	366	19	1638	1	124	139	8	28	148	164	9	28	160	168	10
LOC_Os01g09470	152	24	275	0	42	39	4	28	61	56	9	36	62	56	11
LOC_Os01g09500	60	12	200	1	47	32	13	13	23	21	12	11	36	12	8
LOC_Os01g09510	4583	1525	9364	125	1731	1667	796	859	1660	1622	624	878	1912	1879	704
LOC_Os01g09540	125	1034	4798	21	39	53	597	1510	78	154	728	1493	62	65	534
LOC_Os01g09550	444	547	2823	31	248	362	268	441	224	447	237	350	272	369	305
LOC_Os01g09560	7070	2180	13748	124	3126	3091	1317	1489	3024	2851	1238	1488	3484	3539	1504
LOC_Os01g09570	9753	1898	11576	339	1293	1773	954	1332	977	1123	1019	1311	1005	935	919
LOC_Os01g09580	492	174	1128	1	345	249	105	151	380	306	86	151	494	359	98
LOC_Os01g09590	577	116	1467	65	210	254	77	119	264	196	41	66	285	237	86
LOC_Os01g09620	1018	580	13550	254	857	1066	621	840	1527	1400	548	844	1382	1326	877
LOC_Os01g09640	566	598	2111	95	541	540	331	619	523	519	290	448	615	483	391
LOC_Os01g09660	51	23	178	5	40	40	20	20	74	73	21	35	93	61	28
LOC_Os01g09665	77	26	647	1	39	17	7	10	12	2	3	0	15	4	8
LOC_Os01g09670	751	306	2587	10	270	358	100	253	201	305	112	176	264	305	152
LOC_Os01g09700	624	25	215	155	306	49	201	3	151	65	128	5	336	106	643
